Gender,Age,Geography,Education
Male,36 to 45 years old,Rural,Technical school diploma or degree completed
Female,Not Available,Suburban/Peri-urban,Technical school
Male,26 to 35 years old,Suburban/Peri-urban,University or college degree completed
Female,18 to 25 years old,Suburban/Peri-urban,Some university or college
Female,Not Available,Suburban/Peri-urban,Secondary/high school
Female,18 to 25 years old,Suburban/Peri-urban,University or college degree completed
Female,18 to 25 years old,Suburban/Peri-urban,Secondary school/ high school completed
Male,26 to 35 years old,City center or metropolitan area,Technical school diploma or degree completed
Female,36 to 45 years old,Rural,University or college degree completed
Male,18 to 25 years old,Rural,Secondary school/ high school completed
Male,Not Available,City center or metropolitan area,Technical school
Female,36 to 45 years old,City center or metropolitan area,Secondary school/ high school completed
Male,Not Available,City center or metropolitan area,Secondary/high school
Female,36 to 45 years old,City center or metropolitan area,University or college degree completed
Female,Not Available,Rural,College or university
Male,Over 45 years old,City center or metropolitan area,Some university or college
Male,36 to 45 years old,City center or metropolitan area,University or college degree completed
Female,26 to 35 years old,Rural,University or college degree completed
Male,Over 45 years old,City center or metropolitan area,University or college degree completed
Female,Not Available,Rural,Secondary/high school
Female,26 to 35 years old,Suburban/Peri-urban,Post-graduate education
Female,18 to 25 years old,City center or metropolitan area,University or college degree completed
Male,Not Available,City center or metropolitan area,Post graduate
Male,36 to 45 years old,City center or metropolitan area,University or college degree completed
Female,26 to 35 years old,Rural,Technical school diploma or degree completed
Male,26 to 35 years old,City center or metropolitan area,University or college degree completed
Male,18 to 25 years old,City center or metropolitan area,Secondary school/ high school completed
Female,36 to 45 years old,City center or metropolitan area,Post-graduate education
Male,26 to 35 years old,City center or metropolitan area,University or college degree completed
Male,18 to 25 years old,Rural,Secondary school/ high school completed
Male,26 to 35 years old,City center or metropolitan area,Technical school diploma or degree completed
Female,18 to 25 years old,Suburban/Peri-urban,Secondary school/ high school completed
Male,Not Available,Rural,Secondary/high school
Male,Over 45 years old,Suburban/Peri-urban,University or college degree completed
Male,36 to 45 years old,Suburban/Peri-urban,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Suburban/Peri-urban,Some university or college
Female,Not Available,Suburban/Peri-urban,College or university
Male,Over 45 years old,Suburban/Peri-urban,Some primary education
Male,36 to 45 years old,Rural,University or college degree completed
Female,Over 45 years old,Rural,Technical school diploma or degree completed
Female,18 to 25 years old,City center or metropolitan area,Secondary school/ high school completed
Male,18 to 25 years old,City center or metropolitan area,Secondary school/ high school completed
Male,26 to 35 years old,Rural,Technical school diploma or degree completed
Male,26 to 35 years old,City center or metropolitan area,University or college degree completed
Female,18 to 25 years old,Rural,Some university or college
Male,26 to 35 years old,Rural,Technical school diploma or degree completed
Female,18 to 25 years old,City center or metropolitan area,Some university or college
Male,36 to 45 years old,City center or metropolitan area,University or college degree completed
Female,Not Available,Rural,Secondary/high school
Male,36 to 45 years old,City center or metropolitan area,Post-graduate education
Female,26 to 35 years old,City center or metropolitan area,University or college degree completed
Female,Not Available,Rural,Secondary/high school
Male,18 to 25 years old,City center or metropolitan area,Some technical education (e.g polytechnic school)
Female,18 to 25 years old,City center or metropolitan area,Some university or college
Male,26 to 35 years old,City center or metropolitan area,University or college degree completed
Female,18 to 25 years old,City center or metropolitan area,Secondary school/ high school completed
Male,36 to 45 years old,City center or metropolitan area,University or college degree completed
Male,Not Available,Suburban/Peri-urban,Technical school
Male,18 to 25 years old,Suburban/Peri-urban,Secondary school/ high school completed
Female,26 to 35 years old,City center or metropolitan area,Some university or college
Female,Not Available,Rural,Technical school
Female,18 to 25 years old,Suburban/Peri-urban,Secondary school/ high school completed
Male,Over 45 years old,Suburban/Peri-urban,Secondary school/ high school completed
Female,26 to 35 years old,City center or metropolitan area,Some university or college
Female,18 to 25 years old,City center or metropolitan area,Secondary school/ high school completed
Male,18 to 25 years old,City center or metropolitan area,Some university or college
Female,Not Available,Rural,Secondary/high school
Female,26 to 35 years old,Rural,University or college degree completed
Male,36 to 45 years old,City center or metropolitan area,Secondary school/ high school completed
Male,Under 18,Suburban/Peri-urban,Some technical education (e.g polytechnic school)
Male,Not Available,City center or metropolitan area,Secondary/high school
Female,26 to 35 years old,City center or metropolitan area,Some technical education (e.g polytechnic school)
Female,Not Available,Suburban/Peri-urban,Technical school
Male,36 to 45 years old,City center or metropolitan area,University or college degree completed
Female,18 to 25 years old,Suburban/Peri-urban,Secondary school/ high school completed
Male,36 to 45 years old,Suburban/Peri-urban,Technical school diploma or degree completed
Female,36 to 45 years old,Rural,University or college degree completed
Female,Not Available,Rural,Secondary/high school
Female,Over 45 years old,City center or metropolitan area,University or college degree completed
Male,Not Available,City center or metropolitan area,College or university
Female,Under 18,Suburban/Peri-urban,Secondary school/ high school completed
